type,level,det_num,iou,offset
noise,0.0,1,0.5983640318484067,0.07777571673672569
noise,0.002631578947368421,1,0.6080408298751789,0.08850920159446236
noise,0.005263157894736842,1,0.6154996386198784,0.07503466755992642
noise,0.007894736842105263,1,0.655648499336062,0.06877138266446493
noise,0.010526315789473684,1,0.6378346273418416,0.07315225975453084
noise,0.013157894736842105,1,0.6686032977167264,0.06974274373062608
noise,0.015789473684210527,1,0.6741895181334925,0.0521961400159565
noise,0.018421052631578946,1,0.6820821562265627,0.07610552118917353
noise,0.021052631578947368,1,0.6767840774800171,0.07090666217105895
noise,0.02368421052631579,1,0.6407275183333012,0.059778035721893184
noise,0.02631578947368421,1,0.6857724738260702,0.05285215756328269
noise,0.02894736842105263,1,0.7286233058713659,0.037851181967571035
noise,0.031578947368421054,1,0.6607795838656778,0.05194120402700851
noise,0.034210526315789476,1,0.7115529665187454,0.07689429845122371
noise,0.03684210526315789,1,0.7045557493480239,0.0467865114705485
noise,0.039473684210526314,1,0.6614353498747526,0.07279612981429136
noise,0.042105263157894736,1,0.7110193107088152,0.05260449632058453
noise,0.04473684210526316,1,0.7162999446827276,0.03681580476975273
noise,0.04736842105263158,1,0.6829935887113743,0.032397468951268646
noise,0.05,1,0.678954446882564,0.06196217333056299
dropout,0.0,1,0.5945085369191391,0.07941003811617174
dropout,0.02631578947368421,1,0.6186834341568221,0.08569581923943888
dropout,0.05263157894736842,1,0.5954137548916445,0.08047299225452077
dropout,0.07894736842105263,1,0.5881851178740717,0.08150487726380773
dropout,0.10526315789473684,1,0.6113123150989362,0.08934706998577181
dropout,0.13157894736842105,1,0.6180935102092298,0.07792143693528689
dropout,0.15789473684210525,1,0.5973697507725341,0.08270808948301113
dropout,0.18421052631578946,1,0.6179750943025036,0.0762203031538358
dropout,0.21052631578947367,1,0.6080997572992095,0.08399844565332153
dropout,0.23684210526315788,1,0.6008240614772122,0.07692417665503444
dropout,0.2631578947368421,1,0.6219526469151062,0.07767851031872017
dropout,0.2894736842105263,1,0.6441978213343971,0.07379324799176103
dropout,0.3157894736842105,1,0.5951018951038922,0.08278671488410368
dropout,0.3421052631578947,1,0.5927938179277978,0.08932940105380965
dropout,0.3684210526315789,1,0.6203540044289941,0.07533066189025993
dropout,0.39473684210526316,1,0.6060303479402682,0.08733668629131698
dropout,0.42105263157894735,1,0.6115419726650898,0.08423831684122762
dropout,0.4473684210526315,1,0.6092990491450011,0.07225578684664591
dropout,0.47368421052631576,1,0.606622568313569,0.08001414583175272
dropout,0.5,1,0.5658422112280002,0.08713774178642122
rotate,0.0,1,0.6074658702384171,0.07988273641087719
rotate,0.7894736842105263,1,0.6061582685220539,0.08226596987172008
rotate,1.5789473684210527,1,0.6162666588792657,0.07854042293806941
rotate,2.3684210526315788,1,0.632783220807068,0.07933958350924065
rotate,3.1578947368421053,1,0.6105845605003715,0.09483328632219908
rotate,3.947368421052632,1,0.6542170479898787,0.07864888786066779
rotate,4.7368421052631575,1,0.4373294485168805,0.0900240196035362
rotate,5.526315789473684,1,0.6843260478623188,0.08537489869977026
rotate,6.315789473684211,1,0.4696263212957382,0.07682530607318565
rotate,7.105263157894737,1,0.4708849703047302,0.0844305861231887
rotate,7.894736842105264,1,0.7408902675135064,0.06871367745443831
rotate,8.68421052631579,1,0.4522017187570506,0.09479229497279704
rotate,9.473684210526315,1,0.44723728178583066,0.09150021035588175
rotate,10.263157894736842,1,0.44703556047258924,0.10249722706709279
rotate,11.052631578947368,1,0.4467726711220739,0.09370668320982668
rotate,11.842105263157896,1,0.42932858542441427,0.09496070781699344
rotate,12.631578947368421,1,0.439217716050783,0.09626947490935875
rotate,13.421052631578947,1,0.4521419813249122,0.09446264985584434
rotate,14.210526315789474,1,0.4343131326922448,0.10179507397271599
rotate,15.0,1,0.5322560290615957,0.22219596217988916
